Time,ADC Value,Std Deviation,Calibrated OD
5100,2116.42,128.4332,0.2976131
5130,2109.85,129.8228,0.3050529
5160,2117.93,128.8325,0.2959065
5190,2113.13,131.4301,0.301336
5220,2122.43,129.3772,0.2908277
5250,2121.19,132.3618,0.292226
5280,2111.12,129.4252,0.3036129
5310,2116.04,130.8298,0.2980428
5340,2116.18,128.3401,0.2978846
5370,2102.99,131.4314,0.3128461
5400,2108.28,127.9395,0.3068343
5430,2105.91,130.2876,0.3095259
5460,2125.37,129.6349,0.2875151
5490,2114.78,131.354,0.2994681
5520,2110.58,129.6406,0.3042251
5550,2111.71,133.2495,0.3029444
5580,2118.45,130.4794,0.2953191
5610,2115.06,130.1604,0.2991512
5640,2111.14,129.1698,0.3035905
5670,2109.28,130.6239,0.3056996
5700,2111.59,128.5484,0.3030803
5730,2107.97,130.9449,0.3071863
5760,2122.56,129.537,0.290681
5790,2114.28,131.9767,0.300034
5820,2106.81,126.8921,0.3085034
5850,2112.31,132.44,0.3022646
5880,2112.64,127.0693,0.3018909
5910,2110.14,132.2827,0.3047242
5940,2118.96,129.7376,0.294743
5970,2109.23,132.5141,0.3057563
6000,2122.22,130.356,0.2910643
6030,2113.11,131.4156,0.3013584
6060,2118.28,133.5339,0.2955111
6090,2113.31,131.721,0.3011319
6120,2116.01,128.8231,0.2980767
6150,2114.13,132.0386,0.3002039
6180,2116.66,127.6871,0.2973419
6210,2110.16,132.0176,0.3047015
6240,2099.75,127.0348,0.3165356
6270,2110.18,130.038,0.3046788
6300,2107.02,128.8766,0.3082649
6330,2108.96,129.7775,0.3060627
6360,2106.97,129.5906,0.3083217
6390,2114.31,130.8972,0.2999999
6420,2116.21,127.7705,0.2978506
6450,2108.95,131.4595,0.306074
6480,2130.55,128.7199,0.2816901
6510,2102.55,130.8023,0.3133467
6540,2115.93,128.9185,0.2981673
6570,2112.19,129.9886,0.3024006
6600,2114.33,128.4565,0.2999772
6630,2116.72,132.4152,0.2972739
6660,2108.47,128.3735,0.3066187
6690,2116.88,131.8666,0.2970933
6720,2115.04,128.5455,0.2991739
6750,2102.73,130.195,0.3131419
6780,2114.7,128.824,0.2995587
6810,2115.69,131.0645,0.2984387
6840,2108.64,128.0814,0.3064259
6870,2121.42,132.6814,0.2919666
6900,2112.65,127.9971,0.3018796
6930,2107.87,130.3191,0.3072996
6960,2118.11,119.2312,0.295703
6990,2116.73,132.8018,0.2972627
7020,2117.15,128.7848,0.296788
7050,2111.29,138.6845,0.3034203
7080,2098.31,127.4032,0.3181771
7110,2115.69,131.6013,0.2984387
7140,2115.07,128.7599,0.2991398
7170,2106.43,130.3404,0.308935
7200,2112.1,128.5743,0.3025024
7230,2103.65,130.7976,0.3120954
7260,2112.39,128.2448,0.3021741
7290,2113.8,132.3831,0.3005771
7320,2121.65,128.2643,0.2917072
7350,2111.89,132.8506,0.3027405
7380,2121.71,129.1376,0.2916396
7410,2124.72,147.817,0.2882471
7440,2116.77,129.0333,0.2972174
7470,2106.24,129.954,0.3091508
7500,2110.46,129.3834,0.3043613
7530,2117.91,131.7588,0.2959292
7560,2125.33,130.5011,0.2875602
7590,2100.2,131.1932,0.3160229
7620,2114.22,128.7272,0.3001018
7650,2119.46,134.5291,0.2941785
7680,2110.01,127.7684,0.3048715
7710,2108.41,131.3722,0.3066869
7740,2113.23,128.4117,0.3012226
