Time,ADC Value,Std Deviation,Calibrated OD
5100,2280.51,154.9504,0.1593142
5130,2276.97,153.9556,0.1630316
5160,2277.32,153.6697,0.1626638
5190,2278.78,155.3275,0.1611301
5220,2272.29,155.9996,0.1679549
5250,2274.47,152.6202,0.1656604
5280,2273.57,155.4257,0.1666073
5310,2278.19,154.3543,0.1617498
5340,2283.75,154.1519,0.1559169
5370,2273.78,154.4491,0.1663864
5400,2274.56,154.0048,0.1655655
5430,2274.31,153.091,0.1658286
5460,2277.55,157.4984,0.162422
5490,2277.18,152.4939,0.1628109
5520,2280.01,156.6251,0.1598389
5550,2280.51,155.3296,0.1593142
5580,2279.23,155.7714,0.1606576
5610,2282.03,154.344,0.1577198
5640,2276.08,155.1557,0.163967
5670,2279.79,153.795,0.1600698
5700,2276.81,154.2547,0.1631997
5730,2280.43,153.9235,0.1593982
5760,2273.87,154.701,0.1662915
5790,2275.42,152.6641,0.1646611
5820,2278.8,154.2282,0.161109
5850,2278.85,153.0167,0.1610565
5880,2275.88,151.6454,0.1641774
5910,2278.43,151.6211,0.1614978
5940,2275.09,155.2069,0.1650081
5970,2276.98,153.5619,0.1630211
6000,2273.86,155.3277,0.1663021
6030,2276.98,151.8537,0.1630211
6060,2272.12,155.0722,0.1681338
6090,2281.33,153.8926,0.1584538
6120,2280.35,155.2783,0.159482
6150,2277.4,154.396,0.1625798
6180,2280.02,154.366,0.1598284
6210,2277.2,151.5225,0.1627899
6240,2273.28,154.0861,0.1669126
6270,2279.69,152.9539,0.1601749
6300,2276.76,153.0704,0.1632522
6330,2274.53,153.9551,0.1655972
6360,2275.3,155.3461,0.1647872
6390,2279.91,154.1154,0.159944
6420,2274.26,154.4116,0.1658812
6450,2279.04,154.0333,0.1608571
6480,2280.84,154.9956,0.1589679
6510,2277.25,150.8807,0.1627373
6540,2276.02,155.151,0.1640302
6570,2280.58,152.4428,0.1592406
6600,2275.12,154.5158,0.1649765
6630,2280.19,151.1386,0.1596501
6660,2274.94,156.6217,0.1651659
6690,2275.53,151.9883,0.1645453
6720,2273.09,153.3184,0.1671125
6750,2277.53,153.4611,0.1624431
6780,2272.03,155.0526,0.1682287
6810,2278.29,152.5265,0.1616447
6840,2279.77,154.2788,0.1600908
6870,2276.28,152.6878,0.1637567
6900,2279.57,154.6209,0.1603006
6930,2277.12,151.6823,0.1628738
6960,2275.28,154.8006,0.1648082
6990,2273.93,152.3228,0.1662286
7020,2282.11,155.3558,0.1576358
7050,2270.79,153.5557,0.1695351
7080,2274.41,155.38,0.1657235
7110,2273.33,152.0109,0.1668598
7140,2278.73,154.8258,0.1611826
7170,2276.46,151.8356,0.1635676
7200,2280.13,155.1549,0.159713
7230,2276.49,153.2721,0.1635361
7260,2276.86,155.1277,0.163147
7290,2270.09,151.5837,0.1702727
7320,2280.86,155.9181,0.1589468
7350,2275.87,152.852,0.1641877
7380,2270.72,154.8683,0.1696089
7410,2269.62,152.8409,0.1707681
7440,2278.22,154.328,0.1617182
7470,2275.08,152.6947,0.1650186
7500,2275.8,154.4298,0.1642614
7530,2277.15,153.6091,0.1628425
7560,2277.1,139.6101,0.1628949
7590,2277.29,153.4183,0.1626952
7620,2272.86,154.5198,0.1673546
7650,2275.54,152.5883,0.1645348
7680,2280.06,155.9429,0.1597864
7710,2280.37,151.5684,0.159461
7740,2276.13,156.0381,0.1639145
7770,2276.62,153.0398,0.1633993
7800,2276.98,150.4613,0.1630211
7830,2278.72,155.4539,0.1611932
7860,2275.32,150.5763,0.1647661
7890,2277.54,157.8985,0.1624325
7920,2275.26,149.8028,0.1648293
7950,2279.57,154.1109,0.1603006
7980,2280.15,149.0956,0.1596921
8010,2283.52,158.3838,0.1561578
8040,2274.41,150.7602,0.1657235
8070,2278.97,155.6138,0.1609307
8100,2273.31,150.988,0.166881
8130,2275.34,154.7482,0.1647451
8160,2273.0,149.3305,0.1672073
8190,2270.5,157.0183,0.1698407
8220,2279.61,150.2819,0.1602586
8250,2277.39,155.3303,0.1625903
8280,2278.59,152.1136,0.1613295
8310,2276.03,155.1388,0.1640195
8340,2280.37,150.8417,0.159461
8370,2273.04,155.4034,0.1671652
8400,2277.1,149.3629,0.1628949
8430,2272.42,156.6283,0.1678181
8460,2274.17,150.3345,0.165976
8490,2277.64,155.9462,0.1623276
8520,2277.37,149.5706,0.1626111
8550,2277.66,157.2369,0.1623066
8580,2280.5,149.1067,0.1593246
8610,2278.5,155.605,0.1614242
8640,2277.83,151.2795,0.1621278
8670,2279.24,155.4962,0.1606471
8700,2276.78,152.0853,0.1632313
8730,2276.75,155.4449,0.1632627
8760,2279.12,151.8892,0.1607731
8790,2274.37,156.565,0.1657655
8820,2279.56,152.6177,0.1603111
8850,2273.72,155.2159,0.1664495
8880,2274.45,148.7417,0.1656814
8910,2278.99,157.5432,0.1609096
8940,2279.2,149.6773,0.1606891
